"","t1","t7"
"Gardfjallet_Gardfjallet_2","10","10"
"Gardfjallet_Gardfjallet_4","50.5","88"
"Gardfjallet_Gardfjallet_5","10","10"
"Gardfjallet_Gardfjallet_6","88","88"
"Gardfjallet_Gardfjallet_7","50.5","88"
"Gardfjallet_Gardfjallet_8","88","100"
"Gardfjallet_Gardfjallet_9","88","100"
"Gardfjallet_Gardfjallet_10","10","10"
"Gardfjallet_Gardfjallet_11","10","88"
"Gardfjallet_Gardfjallet_12","50.5","88"
"Gardfjallet_Gardfjallet_13","10","17.5"
"Gardfjallet_Gardfjallet_14","100","100"
"Gardfjallet_Gardfjallet_15","50.5","100"
"Gardfjallet_Gardfjallet_16","10","88"
"Gardfjallet_Gardfjallet_17","100","100"
"Gardfjallet_Gardfjallet_18","100","100"
"Gardfjallet_Gardfjallet_19","88","88"
"Gardfjallet_Gardfjallet_20","50.5","100"
"Gardfjallet_Gardfjallet_21","50.5","100"
"Gardfjallet_Gardfjallet_22","88","100"
"Gardfjallet_Gardfjallet_23","17.5","50.5"
"Gardfjallet_Gardfjallet_24","10","10"
"Gardfjallet_Gardfjallet_25","88","100"
"Gardfjallet_Gardfjallet_26","50.5","50.5"
"Gardfjallet_Gardfjallet_27","17.5","50.5"
"Gardfjallet_Gardfjallet_28","10","50.5"
"Gardfjallet_Gardfjallet_29","50.5","88"
"Gardfjallet_Gardfjallet_30","17.5","88"
"Gardfjallet_Gardfjallet_31","50.5","88"
"Gardfjallet_Gardfjallet_32","88","100"
"Gardfjallet_Gardfjallet_33","88","88"
"Gardfjallet_Gardfjallet_34","10","17.5"
"Gardfjallet_Gardfjallet_35","10","17.5"
"Gardfjallet_Gardfjallet_36","10","17.5"
"Gardfjallet_Gardfjallet_37","50.5","100"
"Gardfjallet_Gardfjallet_38","17.5","17.5"
"Gardfjallet_Gardfjallet_39","10","10"
"Gardfjallet_Gardfjallet_40","100","100"
"Gardfjallet_Gardfjallet_41","10","17.5"
"Gardfjallet_Gardfjallet_42","10","10"
"Gardfjallet_Gardfjallet_43","88","100"
"Gardfjallet_Gardfjallet_44","88","100"
"Gardfjallet_Gardfjallet_45","88","100"
"Gardfjallet_Gardfjallet_46","88","100"
"Gardfjallet_Gardfjallet_47","10","88"
"Gardfjallet_Gardfjallet_48","50.5","88"
