"rownames(envdata)","DIAM","DIAM2"
"Gardfjallet_Gardfjallet_2",37,37
"Gardfjallet_Gardfjallet_4",35,35
"Gardfjallet_Gardfjallet_5",24,24
"Gardfjallet_Gardfjallet_6",16,16
"Gardfjallet_Gardfjallet_7",46,46
"Gardfjallet_Gardfjallet_8",26,26
"Gardfjallet_Gardfjallet_9",33,33
"Gardfjallet_Gardfjallet_10",23,23
"Gardfjallet_Gardfjallet_11",26,26
"Gardfjallet_Gardfjallet_12",32,32
"Gardfjallet_Gardfjallet_13",19,19
"Gardfjallet_Gardfjallet_14",22,22
"Gardfjallet_Gardfjallet_15",20,20
"Gardfjallet_Gardfjallet_16",34,34
"Gardfjallet_Gardfjallet_17",29,29
"Gardfjallet_Gardfjallet_18",22,22
"Gardfjallet_Gardfjallet_19",31,31
"Gardfjallet_Gardfjallet_20",31,31
"Gardfjallet_Gardfjallet_21",32,32
"Gardfjallet_Gardfjallet_22",36,36
"Gardfjallet_Gardfjallet_23",23,23
"Gardfjallet_Gardfjallet_24",44,44
"Gardfjallet_Gardfjallet_25",15,15
"Gardfjallet_Gardfjallet_26",43,43
"Gardfjallet_Gardfjallet_27",33,33
"Gardfjallet_Gardfjallet_28",17,17
"Gardfjallet_Gardfjallet_29",24,24
"Gardfjallet_Gardfjallet_30",17,17
"Gardfjallet_Gardfjallet_31",28,28
"Gardfjallet_Gardfjallet_32",37,37
"Gardfjallet_Gardfjallet_33",38,38
"Gardfjallet_Gardfjallet_34",27,27
"Gardfjallet_Gardfjallet_35",28,28
"Gardfjallet_Gardfjallet_36",20,20
"Gardfjallet_Gardfjallet_37",22,22
"Gardfjallet_Gardfjallet_38",22,22
"Gardfjallet_Gardfjallet_39",28,28
"Gardfjallet_Gardfjallet_40",26,26
"Gardfjallet_Gardfjallet_41",28,28
"Gardfjallet_Gardfjallet_42",39,39
"Gardfjallet_Gardfjallet_43",43,43
"Gardfjallet_Gardfjallet_44",31,31
"Gardfjallet_Gardfjallet_45",41,41
"Gardfjallet_Gardfjallet_46",19,19
"Gardfjallet_Gardfjallet_47",48,48
"Gardfjallet_Gardfjallet_48",36,36
"Gardfjallet_Gardfjallet_49",28,28
"Gardfjallet_Gardfjallet_50",46,46
"Gardfjallet_Gardfjallet_51",33,33
"Gardfjallet_Gardfjallet_52",20,20
"Gardfjallet_Gardfjallet_53",31,31
"Gardfjallet_Gardfjallet_54",21,21
"Gardfjallet_Gardfjallet_55",18,18
"Gardfjallet_Gardfjallet_56",30,30
"Gardfjallet_Gardfjallet_57",30,30
"Gardfjallet_Gardfjallet_58",23,23
"Gardfjallet_Gardfjallet_59",29,29
"Gardfjallet_Gardfjallet_60",44,44
"Gardfjallet_Gardfjallet_61",34,34
"Gardfjallet_Gardfjallet_62",27,27
"Gardfjallet_Gardfjallet_63",78,78
"Gardfjallet_Gardfjallet_64",21,21
"Gardfjallet_Gardfjallet_65",17,17
"Gardfjallet_Gardfjallet_66",23,23
"Gardfjallet_Gardfjallet_67",34,34
"Gardfjallet_Gardfjallet_68",29,29
"Gardfjallet_Gardfjallet_69",37,37
"Gardfjallet_Gardfjallet_70",34,34
"Gardfjallet_Gardfjallet_76",50,50
"Gardfjallet_Gardfjallet_77",33,33
"Gardfjallet_Gardfjallet_78",16,16
"Gardfjallet_Gardfjallet_79",50,50
"Gardfjallet_Gardfjallet_80",22,22
"Gardfjallet_Gardfjallet_81",50,50
"Gardfjallet_Gardfjallet_82",31,31
"Gardfjallet_Gardfjallet_83",28,28
"Gardfjallet_Gardfjallet_84",33,33
"Gardfjallet_Gardfjallet_85",18,18
"Gardfjallet_Gardfjallet_86",19,19
"Gardfjallet_Gardfjallet_87",27,27
"Gardfjallet_Gardfjallet_88",52,52
"Gardfjallet_Gardfjallet_89",38,38
"Gardfjallet_Gardfjallet_90",29,29
"Gardfjallet_Gardfjallet_91",18,18
"Gardfjallet_Gardfjallet_92",31,31
"Gardfjallet_Gardfjallet_93",20,20
"Gardfjallet_Gardfjallet_94",47,47
"Gardfjallet_Gardfjallet_96",50,50
"Gardfjallet_Gardfjallet_98",33,33
"Gardfjallet_Gardfjallet_99",44,44
"Gardfjallet_Gardfjallet_100",18,18
"Gardfjallet_Gardfjallet_101",33,33
"Gardfjallet_Gardfjallet_102",21,21
"Gardfjallet_Gardfjallet_103",28,28
"Gardfjallet_Gardfjallet_104",47,47
"Gardfjallet_Gardfjallet_105",33,33
"Gardfjallet_Gardfjallet_106",30,30
"Gardfjallet_Gardfjallet_107",35,35
"Gardfjallet_Gardfjallet_108",17,17
"Gardfjallet_Gardfjallet_109",45,45
"Gardfjallet_Gardfjallet_110",64,64
"Gardfjallet_Gardfjallet_111",25,25
"Gardfjallet_Gardfjallet_112",40,40
"Gardfjallet_Gardfjallet_113",47,47
"Gardfjallet_Gardfjallet_114",31,31
"Gardfjallet_Gardfjallet_115",34,34
"Gardfjallet_Gardfjallet_116",25,25
"Gardfjallet_Gardfjallet_117",20,20
"Gardfjallet_Gardfjallet_118",29,29
"Gardfjallet_Gardfjallet_119",38,38
"Gardfjallet_Gardfjallet_120",50,50
"Gardfjallet_Gardfjallet_121",31,31
"Gardfjallet_Gardfjallet_122",23,23
"Gardfjallet_Gardfjallet_123",23,23
"Gardfjallet_Gardfjallet_124",27,27
"Gardfjallet_Gardfjallet_125",44,44
"Gardfjallet_Gardfjallet_126",29,29
"Gardfjallet_Gardfjallet_127",30,30
"Gardfjallet_Gardfjallet_128",19,19
"Gardfjallet_Gardfjallet_129",23,23
"Gardfjallet_Gardfjallet_130",17,17
"Gardfjallet_Gardfjallet_131",26,26
"Gardfjallet_Gardfjallet_132",35,35
"Gardfjallet_Gardfjallet_133",28,28
"Gardfjallet_Gardfjallet_134",17,17
"Gardfjallet_Gardfjallet_135",31,31
