"","fomipini","heteparv","tricabie","phlecent","phelferr","fomirose","postcaes","antrseri","phelviti","gloesepi","skelbrev","phelnigr"
"Gardfjallet_Gardfjallet_2","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_4","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_5","0","0","0","1","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_6","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_7","0","0","0","0","0","1","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_8","0","0","0","0","0","0","0","0","1","0","0","0"
"Gardfjallet_Gardfjallet_9","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_10","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_11","0","0","0","0","0","1","0","1","1","0","0","1"
"Gardfjallet_Gardfjallet_12","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_13","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_14","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_15","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_16","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_17","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_18","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_19","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_20","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_21","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_22","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_23","0","0","0","0","0","1","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_24","1","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_25","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_26","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_27","0","0","0","0","0","0","0","1","0","0","0","1"
"Gardfjallet_Gardfjallet_28","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_29","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_30","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_31","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_32","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_33","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_34","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_35","0","0","1","0","0","0","0","0","0","1","0","0"
"Gardfjallet_Gardfjallet_36","0","0","1","0","0","0","0","0","0","1","0","0"
"Gardfjallet_Gardfjallet_37","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_38","0","0","0","0","0","0","0","1","0","0","0","0"
"Gardfjallet_Gardfjallet_39","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_40","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_41","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_42","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_43","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_44","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_45","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_46","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_47","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_48","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_49","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_50","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_51","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_52","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_53","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_54","0","0","0","0","0","0","0","0","1","0","0","0"
"Gardfjallet_Gardfjallet_55","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_56","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_57","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_58","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_59","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_60","0","0","0","0","0","0","0","1","0","0","0","0"
"Gardfjallet_Gardfjallet_61","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_62","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_63","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_64","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_65","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_66","0","0","1","0","0","0","0","0","0","1","0","0"
"Gardfjallet_Gardfjallet_67","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_68","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_69","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_70","0","0","1","0","0","0","0","0","0","1","0","0"
"Gardfjallet_Gardfjallet_76","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_77","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_78","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_79","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_80","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_81","0","0","0","0","1","1","0","1","0","0","0","0"
"Gardfjallet_Gardfjallet_82","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_83","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_84","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_85","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_86","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_87","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_88","0","0","0","0","1","1","0","0","1","0","0","0"
"Gardfjallet_Gardfjallet_89","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_90","0","0","0","0","0","1","0","1","1","0","0","0"
"Gardfjallet_Gardfjallet_91","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_92","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_93","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_94","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_96","0","0","1","0","0","1","0","1","0","0","0","0"
"Gardfjallet_Gardfjallet_98","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_99","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_100","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_101","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_102","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_103","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_104","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_105","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_106","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_107","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_108","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_109","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_110","0","0","0","0","0","0","0","1","0","0","0","1"
"Gardfjallet_Gardfjallet_111","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_112","0","0","0","0","0","0","0","0","1","0","0","0"
"Gardfjallet_Gardfjallet_113","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_114","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_115","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_116","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_117","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_118","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_119","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_120","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_121","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_122","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_123","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_124","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_125","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_126","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_127","0","0","0","0","1","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_128","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_129","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_130","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_131","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_132","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_133","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_134","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_135","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_136","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_137","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_138","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_139","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_140","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_141","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_142","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_143","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_144","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_145","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_146","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_147","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_148","0","0","0","0","0","0","0","0","0","1","0","0"
"Gardfjallet_Gardfjallet_149","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_150","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_151","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_152","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_153","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_154","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_155","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_156","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_157","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_158","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_159","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_160","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_161","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_162","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_163","0","0","0","0","0","1","0","1","0","0","0","0"
"Gardfjallet_Gardfjallet_164","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_165","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_166","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_167","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_168","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_169","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_170","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_171","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_172","0","0","0","0","1","0","0","1","0","1","0","0"
"Gardfjallet_Gardfjallet_173","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_174","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_175","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_176","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_177","0","0","1","1","1","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_178","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_179","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_180","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_181","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_182","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_183","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_184","0","0","0","0","0","0","0","0","1","0","0","1"
"Gardfjallet_Gardfjallet_185","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_186","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_187","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_188","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_189","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_190","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_191","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_192","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_193","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_194","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_195","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_196","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_197","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_198","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_199","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_200","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_201","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_202","0","0","1","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_203","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_204","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_205","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_206","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_207","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_208","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_209","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_210","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_211","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_212","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_213","0","0","1","0","0","1","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_214","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_215","0","0","0","0","0","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_216","0","0","0","0","1","0","0","0","0","0","0","1"
"Gardfjallet_Gardfjallet_217","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_218","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_219","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_220","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_221","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_222","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_223","0","0","0","0","0","0","0","0","0","0","0","0"
"Gardfjallet_Gardfjallet_224","0","0","0","0","0","0","0","0","0","0","0","0"
